sample	cluster	ST	Species	Dataset	Host	Source	year
SB279408048	24	10	Escherichia coli	SB27	Beef	Animal	2019
SRR9924646	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278790565	28	636	Escherichia coli	SB27	Human	Human	2018
SB278791241	29	345	Escherichia coli	SB27	Turkey	Animal	2018
SRR7724628	22	354	Escherichia coli	Contextual	Avian	Context	2017
SB278344825	16	1262	Escherichia coli	SB27	Human	Human	
SB279406670	20	1049	Escherichia coli	SB27	Turkey	Animal	2018
SRR14138276	18	174	Escherichia coli	Contextual	Human	Context	2017
SB2710442269	29	164	Escherichia coli	SB27	Beef	Animal	2019
SRR12206256	23	10	Escherichia coli	Contextual	Human	Context	2018
SRR7724656	9	410	Escherichia coli	Contextual	Avian	Context	2017
SRR14138358	27	216	Escherichia coli	Contextual	Human	Context	2017
SB2710441835	29	906	Escherichia coli	SB27	Turkey	Animal	2021
SRR6979667	29	5409	Escherichia coli	Contextual	Swine	Context	2018
SRR7358287	8	11	Escherichia coli	Contextual	Human	Context	2018
SB279408922	19	69	Escherichia coli	SB27	Human	Human	2020
SB279406560	28	355	Escherichia coli	SB27	Turkey	Animal	2018
SB279408388	29	533	Escherichia coli	SB27	Turkey	Animal	2019
SB279408810	29	5378	Escherichia coli	SB27	Pork	Animal	2020
SB2710442209	29	5949	Escherichia coli	SB27	Pork	Animal	2019
SB2710442319	20	155	Escherichia coli	SB27	Beef	Animal	2019
SB279407997	28	6949	Escherichia coli	SB27	Turkey	Animal	2019
SRR7172279	8	11	Escherichia coli	Contextual	Human	Context	2018
SB278344808	9	23	Escherichia coli	SB27	Human	Human	
SB279407815	2	127	Escherichia coli	SB27	Human	Human	2020
SRR7716570	29	602	Escherichia coli	Contextual	Human	Context	2018
SB278790430	21	131	Escherichia coli	SB27	Human	Human	2018
SB278791596	25	57	Escherichia coli	SB27	Chicken	Animal	2018
SB278790665	3	12	Escherichia coli	SB27	Human	Human	2018
SRR11059194	29	2521	Escherichia coli	Contextual	Water/River	Context	2018
