sample	cluster	ST	Species	Dataset	Host	Source	Collection.Year	Continent	Country	Region
SRR13748607	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2021	North America	United States	Illinois
SRR14154184	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	Iowa
SRR14250538	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	Iowa
SRR14351967	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	Iowa
SRR14760147	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	Iowa
SRR14766729	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	South Dakota
SRR15104481	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2021	North America	United States	Pennsylvania
SRR15680676	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2021	North America	United States	South Dakota
SRR16342648	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2021	North America	United States	Iowa
SRR16464337	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2021	North America	United States	Pennsylvania
SRR16983451	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2021	North America	United States	Pennsylvania
SRR17220474	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2021	North America	United States	Kentucky
SRR11126596	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2020	North America	United States	Iowa
SRR12075377	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Kentucky
SRR12595391	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	Virginia
SRR12898993	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Pennsylvania
SRR13059443	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	South Dakota
SRR13379970	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	South Dakota
SRR13484473	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Pennsylvania
SRR13643241	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2020	North America	United States	Virginia
SRR13628063	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2020	North America	United States	Iowa
SRR14098005	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	Pennsylvania
SRR15007625	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Iowa
SRR15668812	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Georgia
SRR15714243	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Kentucky
SRR15714285	21	131	Escherichia coli	ST131 Context NA	Canine	Animal	2020	North America	United States	Iowa
SRR16250101	21	131	Escherichia coli	ST131 Context NA	Human	Human	2020	North America	United States	Iowa
SRR17774330	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2020	North America	United States	Kentucky
SRR17729841	21	131	Escherichia coli	ST131 Context NA	Feline	Animal	2020	North America	United States	Iowa
SRR8502591	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	North Carolina
SRR8649792	21	131	Escherichia coli	ST131 Context Cali	Swine	Animal	2019	North America	United States	California
SRR8723136	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Montana
SRR8745379	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	Indiana
SRR9048673	21	131	Escherichia coli	ST131 Context NA	Poultry	Animal	2019	North America	United States	Indiana
SRR9048655	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Missouri
SRR9139841	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Illinois
SRR9201969	21	131	Escherichia coli	ST131 Context NA	Swine	Animal	2019	North America	United States	Oklahoma
